Name,Status,Population Census 2001-01-01,Population Estimate 2008-01-01,Population Estimate 2011-01-01,Population Estimate 2015-01-01,Population Estimate 2020-01-01
Drenthe,Province,474497,488135,491411,488576,493682
Aa en Hunze,Municipality,25208,25598,25785,25203,25445
Assen,Municipality,59005,65487,67177,67165,68599
Borger-Odoorn,Municipality,26298,26201,25941,25502,25559
Coevorden,Municipality,35502,35993,36067,35535,35297
De Wolden,Municipality,23783,23554,23637,23661,24330
Emmen,Municipality,107419,109151,109259,107775,107048
Hoogeveen,Municipality,52781,54468,54844,54860,55699
Meppel,Municipality,30037,31536,32511,32799,33920
Midden-Drenthe,Municipality,32812,33587,33581,33284,33185
Noordenveld,Municipality,30958,31253,30794,31137,31253
Tynaarlo,Municipality,31751,31974,32450,32570,33887
Westerveld,Municipality,18943,19333,19365,19085,19460
Flevoland,Province,328877,378688,391967,401791,423021
Almere,Municipality,150359,183270,190655,196932,211893
Dronten,Municipality,35575,38528,40164,40363,41555
Lelystad,Municipality,64665,73063,75111,76418,78598
Noordoostpolder,Municipality,43668,45716,46253,46479,47291
Urk,Municipality,16231,17825,18678,19705,21031
Zeewolde,Municipality,18379,20286,21106,21894,22653
Friesland (Fryslân),Province,630530,643189,647282,646257,649957
Achtkarspelen,Municipality,28013,28088,28123,27983,27843
Ameland,Municipality,3545,3456,3503,3590,3716
Dantumadiel (Dantumadeel),Municipality,19843,19399,19310,19059,18922
De Fryske Marren,Municipality,50750,51550,52050,51213,51564
Harlingen,Municipality,15444,15567,15878,15779,15722
Heerenveen,Municipality,...,49000,49400,50141,50493
Leeuwarden,Municipality,...,117583,119502,121352,124084
"Noardeast-Fryslân (incl. Dongeradeel, Ferwerderadeel, Kollumerland)",Municipality,46736,46644,46086,45556,45228
Ooststellingwerf,Municipality,26238,26398,26004,25617,25469
Opsterland,Municipality,28833,29703,29991,29859,29733
Schiermonnikoog,Municipality,1017,951,957,926,947
Smallingerland,Municipality,53010,54962,55436,55635,56150
Súdwest-Fryslân,Municipality,...,88980,89700,89629,89987
Terschelling,Municipality,4768,4705,4721,4827,4888
Tytsjerksteradiel (Tietjerksteradeel),Municipality,31049,32243,32178,31957,32052
Vlieland,Municipality,1215,1124,1151,1103,1155
Waadhoeke,Municipality,46712,47185,47431,46462,46090
Weststellingwerf,Municipality,25246,25674,25846,25525,25914
Gelderland,Province,1934140,1983869,2004671,2026578,2085952
Aalten,Municipality,27338,27568,27439,26904,27121
Apeldoorn,Municipality,153681,155108,156199,158099,163818
Arnhem,Municipality,139299,143582,148070,152293,161348
Barneveld,Municipality,48296,51486,53026,54703,59082
Berg en Dal,Municipality,34503,34177,34149,34258,34992
Berkelland,Municipality,46321,45150,44863,44364,43747
Beuningen,Municipality,25437,25321,25507,25282,25890
Bronckhorst,Municipality,37665,37833,37677,36726,36055
Brummen,Municipality,21592,21200,21219,20983,20726
Buren,Municipality,25238,25727,26013,26117,26749
Culemborg,Municipality,25251,27298,27584,27560,28955
Doesburg,Municipality,11518,11567,11636,11355,11077
Doetinchem,Municipality,54446,56253,56037,56484,58001
Druten,Municipality,17054,18082,18097,18294,18926
Duiven,Municipality,25750,25560,25550,25548,25126
Ede,Municipality,102401,107686,108285,111575,117165
Elburg,Municipality,21689,22231,22310,22843,23161
Epe,Municipality,33156,32970,32875,32214,33178
Ermelo,Municipality,26784,26270,26133,26190,27008
Harderwijk,Municipality,40183,42333,44932,45776,48414
Hattem,Municipality,11672,11657,11762,11821,12209
Heerde,Municipality,18083,18212,18300,18512,18589
Heumen,Municipality,16503,16628,16494,16383,16454
Lingewaard,Municipality,41143,44617,45589,45788,46601
Lochem,Municipality,32548,33045,33278,33244,33729
Maasdriel,Municipality,23369,23631,23970,24185,25030
Montferland,Municipality,35032,34995,34976,35150,36011
Neder-Betuwe,Municipality,22144,22424,22620,22728,24339
Nijkerk,Municipality,36720,38982,39788,40870,43171
Nijmegen,Municipality,153684,161251,164223,170681,177659
Nunspeet,Municipality,26139,26567,26685,26744,27851
Oldebroek,Municipality,22645,22771,22659,23001,23646
Oost Gelre (Groenlo),Municipality,28343,29873,30113,29533,29627
Oude IJsselstreek,Municipality,40520,39905,39922,39558,39388
Overbetuwe,Municipality,39684,44226,45953,46833,47906
Putten,Municipality,22887,23183,23746,24377,24112
Renkum,Municipality,32234,31719,31559,31408,31419
Rheden,Municipality,44384,43763,43982,43625,43761
Rozendaal,Municipality,1505,1511,1512,1509,1704
Scherpenzeel,Municipality,9138,9037,9327,9522,9880
Tiel,Municipality,39606,41132,41181,41590,42159
Voorst,Municipality,23712,23660,23703,23913,24552
Wageningen,Municipality,33820,36215,36642,37786,39664
"West Betuwe (incl. Geldermalsen, Lingewaal, Neerijnen)",Municipality,46963,49052,48945,49440,51128
Westervoort,Municipality,16153,15478,15336,14992,14971
West Maas en Waal,Municipality,18181,18320,18301,18570,19324
Wijchen,Municipality,38425,39660,40507,40886,41110
Winterswijk,Municipality,28672,29182,29026,28977,28854
Zaltbommel,Municipality,25658,26185,26643,27358,28881
Zevenaar (incl. Rijnwaarden),Municipality,42145,42824,43244,43177,43750
Zutphen,Municipality,44826,46762,47084,46849,47934
Groningen,Province,566468,573459,579036,583942,585866
Appingedam,Municipality,12434,12131,12090,12011,11642
Delfzijl,Municipality,28968,27314,26567,25409,24678
Groningen,Municipality,200402,208466,215960,226712,232874
"Het Hogeland (incl. Bedum, De Marne, Eemsmond, Winsum)",Municipality,50841,50123,49737,48547,47801
Loppersum,Municipality,11037,10702,10478,10140,9537
Midden-Groningen,Municipality,60684,62479,62745,62114,60797
Oldambt,Municipality,40168,39606,39396,38420,38209
Pekela,Municipality,13359,13262,12954,12678,12196
Stadskanaal,Municipality,33517,33817,33122,32610,31686
Veendam,Municipality,28328,28058,27981,27695,27384
"Westerkwartier (incl. Grootegast, Leek, Marum, Zuidhorn)",Municipality,60579,61679,62314,62240,63329
"Westerwolde (incl. Vlagtwedde, Bellingwedde)",Municipality,26151,25822,25692,25366,25733
Limburg,Province,1142584,1123705,1122627,1117941,1117201
"Beekdaelen (incl. Nuth, Onderbanken, Schinnen)",Municipality,38810,37509,37019,36353,35938
Beek,Municipality,17174,16696,16548,16214,15865
Beesel,Municipality,13188,13643,13844,13511,13482
Bergen (L.),Municipality,13444,13499,13350,13152,13085
Brunssum,Municipality,30395,29742,29375,28656,27821
Echt-Susteren,Municipality,32269,32172,32264,31947,31610
Eijsden-Margraten,Municipality,25814,25026,24940,24967,25768
Gennep,Municipality,16822,16890,17383,17280,16921
Gulpen-Wittem,Municipality,15525,14712,14496,14497,14171
Heerlen,Municipality,95149,89671,89212,87500,87086
Horst aan de Maas,Municipality,...,40857,41814,41661,42429
Kerkrade,Municipality,51065,48334,47409,46524,45749
Landgraaf,Municipality,40768,38748,38186,37456,37445
Leudal,Municipality,36689,36744,36600,36244,35879
Maasgouw,Municipality,24597,24545,24272,23766,23965
Maastricht,Municipality,122161,118004,119664,122397,121575
Meerssen,Municipality,20245,19744,19495,19063,18828
Mook en Middelaar,Municipality,7978,8084,7947,7762,7847
Nederweert,Municipality,16171,16665,16678,16776,17019
Peel en Maas,Municipality,42301,42688,43188,43448,43425
Roerdalen,Municipality,21566,21142,21239,20699,20574
Roermond,Municipality,53767,54446,55595,57005,58260
Simpelveld,Municipality,11500,11206,10953,10844,10555
Sittard-Geleen,Municipality,97923,95691,94814,93724,92429
Stein,Municipality,26428,26091,25709,25134,25007
Vaals,Municipality,10838,9838,9805,9694,10105
Valkenburg aan de Geul,Municipality,17884,17099,17024,16618,16367
Venlo,Municipality,99541,100615,99793,100536,101802
Venray,Municipality,...,42530,42784,43202,43614
Voerendaal,Municipality,13141,12757,12664,12397,12475
Weert,Municipality,48151,48305,48563,48914,50105
Noord-Brabant [North Brabant],Province,2374999,2424827,2454215,2488751,2562955
Alphen-Chaam,Municipality,9486,9455,9466,9753,10203
"Altena (incl. Aalburg, Werkendam, Woudrichem)",Municipality,52312,53222,53461,53762,55967
Asten,Municipality,15788,16392,16296,16559,16721
